date	currency	close
2008/06/30	JPY/VND	15871
2008/07/31	JPY/VND	15504
2008/08/29	JPY/VND	15115
2008/09/30	JPY/VND	15935
2008/10/31	JPY/VND	17063
2008/11/28	JPY/VND	17829
2008/12/31	JPY/VND	19340
2009/01/30	JPY/VND	19417
2009/02/27	JPY/VND	17747
2009/03/31	JPY/VND	18282
2009/04/30	JPY/VND	18207
2009/05/29	JPY/VND	18371
2009/06/30	JPY/VND	18532
2009/07/31	JPY/VND	18642
2009/08/31	JPY/VND	19038
2009/09/30	JPY/VND	19892.4
2009/10/30	JPY/VND	19817.33
2009/11/30	JPY/VND	21406.89
2009/12/31	JPY/VND	19860.3
2010/01/29	JPY/VND	20460.74
2010/02/26	JPY/VND	21450.07
2010/03/31	JPY/VND	20421.27
2010/04/30	JPY/VND	20156.82
2010/05/31	JPY/VND	20807.78
2010/06/30	JPY/VND	21553.34
2010/07/30	JPY/VND	22082.63
2010/08/31	JPY/VND	23149.06
2010/09/30	JPY/VND	23316.24
2010/10/29	JPY/VND	24250.93
2010/11/30	JPY/VND	23309.8
2010/12/31	JPY/VND	24022.21
2011/01/31	JPY/VND	23764.55
2011/02/28	JPY/VND	25525.8
2011/03/31	JPY/VND	25144.35
2011/04/29	JPY/VND	25375.53
2011/05/31	JPY/VND	25350.9
2011/06/30	JPY/VND	25478.21
2011/07/29	JPY/VND	26809.74
2011/08/31	JPY/VND	27175.62
2011/09/30	JPY/VND	27049.14
2011/10/31	JPY/VND	27771.14
2011/11/30	JPY/VND	27051.5
2011/12/30	JPY/VND	27352.3
2012/01/31	JPY/VND	27404.89
2012/02/29	JPY/VND	25676.11
2012/03/30	JPY/VND	25152.05
2012/04/30	JPY/VND	26108.09
2012/05/31	JPY/VND	26589.98
2012/06/29	JPY/VND	26168.42
2012/07/31	JPY/VND	26698.75
2012/08/31	JPY/VND	26529.67
2012/09/28	JPY/VND	26774.92
2012/10/31	JPY/VND	26103.75
2012/11/30	JPY/VND	25272.77
2012/12/31	JPY/VND	24007.43
2013/01/31	JPY/VND	22694.81
2013/02/28	JPY/VND	22616.55
2013/03/29	JPY/VND	22213.86
2013/04/30	JPY/VND	21479.5
2013/05/31	JPY/VND	20897.51
