CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	START	CAPI	MINDATE	MINDATE_SHLI
AAA	CTCP Nhựa và môi trường xanh An Phát	An Phat Plastic And Green Environment Jsc	HNX	Basic Materials	2010/07/15	9900000	2010/07/15			99,000,000,000	2010/07/15	9900000
AAM	CTCP Thủy sản Mekong	Mekong Fisheries Jsc	HSX	Consumer Goods	2009/07/13	8100000	2009/09/24		1	81,000,000,000	2009/09/24	8100000
ABI	BH NH Nông Nghiệp	Agriculture Bank Insurance JCC	UPC	Financials	2009/07/16	38000000	2009/07/16			380,000,000,000	2009/07/16	38000000
ABT	CTCP Xuất nhập khẩu Thủy sản Bến Tre	Bentre Aquaproduct Import And Export Jsc	HSX	Consumer Goods	2006/06/12	3300000	2006/12/25		1	33,000,000,000	2006/12/25	3300000
ACB	Ngân hàng Thương mại CP Á Châu	Asia Commercial Bank	HNX	Banks	2006/11/21	110004656	2006/11/21			1,100,046,560,000	2006/11/21	110004656
ACC	CTCP bê tông Becamex	Becamex Asphalt & Concrete Jsc	HSX	Industrials	2011/06/17	10000000	2011/06/30		1	100,000,000,000	2009/12/22	6000000
ACE	Bê tông An Giang	An Giang Centrifugal Concrete Jsc	UPC	Industrials	2009/11/10	2300000	2009/11/10			23,000,000,000	2009/11/10	2300000
ACL	CTCP Xuất Nhập Khẩu Thủy Sản Cửu Long An Giang	Cuu Long Fish Jsc	HSX	Consumer Goods	2007/08/23	9000000	2007/09/05		1	90,000,000,000	2007/09/05	9000000
ADC	CTCP Mĩ Thuật và Truyền Thông	Art And Design Communication Jsc	HNX	Consumer Services	2010/12/24	1000000	2010/12/24			10,000,000,000	2010/12/24	1000000
ADP	Sơn Á Đông	A Dong Paint Jsc	UPC	Industrials	2010/02/02	5000000	2010/02/02			50,000,000,000	2010/02/02	5000000
AGC	CTCP Cà phê An Giang	An Giang Coffee Jsc	HNX	Consumer Goods	2009/01/05	8300000	2009/01/05			83,000,000,000	2009/01/05	8300000
AGD	CTCP Gò Đàng	Godaco Seafood Jsc. 	HSX	Consumer Goods	2009/12/28	8000000	2010/01/07		1	80,000,000,000	2010/01/07	8000000
AGF	CTCP Xuất nhập khẩu Thủy sản An Giang	Angiang Fisheries Import & Export Jsc	HSX	Consumer Goods	2002/04/26	4179130	2002/05/02		1	41,791,300,000	2002/05/02	4179130
AGR	CTCP Chứng khoán NH Nông nghiệp và Phát triển Nông thôn Việt Nam	Agribank Securities Jscporation	HSX	Financials	2009/12/02	120000000	2009/12/10		1	1,200,000,000,000	2009/12/10	120000000
ALP	CTCP Đầu tư Alphanam	Alphanam Jsc	HSX	Industrials	2007/12/07	30000000	2007/12/18		1	300,000,000,000	2007/12/18	30000000
ALT	CTCP Văn hoá Tân Bình	Alta Company	HNX	Consumer Services	2006/11/22	1334700	2006/11/22			13,347,000,000	2006/11/22	1334700
ALV	CTCP Khoáng sản Vinas A Lưới	Vinas A Luoi Mineral Jsc	HNX	Basic Materials	2010/09/17	1500000	2010/09/17			15,000,000,000	2010/09/17	1500000
AMC	CTCP Khoáng Sản Á Châu	Asia Mineral Jsc	HNX	Basic Materials	2012/02/15	2739743	2012/02/15			27,397,430,000	2012/02/15	2739743
AME	CTCP Alphanam cơ điện	Alphanam Mechanical Electric Jsc,.	HNX	Industrials	2010/06/02	12000000	2010/06/02			120,000,000,000	2010/06/02	12000000
AMV	CTCP Sản xuất kinh doanh dược và Thiết bị y tế Việt Mỹ	American Vietnamese Biotech Incorporation	HNX	Health Care	2009/12/23	2100000	2009/12/30		1	21,000,000,000	2009/12/30	2100000
ANV	CTCP Nam Việt	Nam Viet Corporation	HSX	Consumer Goods	2007/11/28	66000000	2007/12/07		1	660,000,000,000	2007/12/07	66000000
APC	CTCP chiếu xạ An Phú	An Phu Irradiation Jsc	HSX	Health Care	2010/01/22	8640000	2010/02/05		1	86,400,000,000	2010/02/05	8640000
