CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE	IDT_CODE
AAA	CTCP Nhựa và môi trường xanh An Phát	An Phat Plastic And Green Environment Jsc	HNX	Basic Materials	2010/07/15	9900000	2010/07/15	48700	2010/07/15	9900000		9900000	2099/12/31	BM
AAM	CTCP Thủy sản Mekong	Mekong Fisheries Jsc	HSX	Consumer Goods	2009/07/13	8100000	2009/09/24	45600	2009/09/24	8100000		8100000	2099/12/31	CG
ABI	BH NH Nông Nghiệp	Agriculture Bank Insurance JCC	UPC	Financials	2009/07/16	38000000	2009/07/16	24000	2009/07/16	38000000		38000000	2099/12/31	FI
ABT	CTCP Xuất nhập khẩu Thủy sản Bến Tre	Bentre Aquaproduct Import And Export Jsc	HSX	Consumer Goods	2006/06/12	3300000	2006/12/25	90000	2006/12/25	3300000		3300000	2099/12/31	CG
ACB	Ngân hàng Thương mại CP Á Châu	Asia Commercial Bank	HNX	Banks	2006/11/21	110004656	2006/11/21	130200	2006/11/21	110004656		110004656	2099/12/31	BA
ACC	CTCP bê tông Becamex	Becamex Asphalt & Concrete Jsc	HSX	Industrials	2011/06/17	10000000	2011/06/30	25000	2009/12/22	6000000		10000000	2099/12/31	IN
ACC	CTCP bê tông Becamex	Becamex Asphalt & Concrete Jsc	UPC	Industrials	2009/12/22	6000000	2009/12/22	30000				6000000	2011/06/23	IN
ACE	Bê tông An Giang	An Giang Centrifugal Concrete Jsc	UPC	Industrials	2009/11/10	2300000	2009/11/10	25000	2009/11/10	2300000		2300000	2099/12/31	IN
ACL	CTCP Xuất Nhập Khẩu Thủy Sản Cửu Long An Giang	Cuu Long Fish Jsc	HSX	Consumer Goods	2007/08/23	9000000	2007/09/05	81000	2007/09/05	9000000		9000000	2099/12/31	CG
ADC	CTCP Mĩ Thuật và Truyền Thông	Art And Design Communication Jsc	HNX	Consumer Services	2010/12/24	1000000	2010/12/24	11300	2010/12/24	1000000		1000000	2099/12/31	CS
ADP	Sơn Á Đông	A Dong Paint Jsc	UPC	Industrials	2010/02/02	5000000	2010/02/02		2010/02/02	5000000		5000000	2099/12/31	IN
AGC	CTCP Cà phê An Giang	An Giang Coffee Jsc	HNX	Consumer Goods	2009/01/05	8300000	2009/01/05	17100	2009/01/05	8300000		8300000	2099/12/31	CG
AGD	CTCP Gò Đàng	Godaco Seafood Jsc. 	HSX	Consumer Goods	2009/12/28	8000000	2010/01/07	30000	2010/01/07	8000000		8000000	2099/12/31	CG
AGF	CTCP Xuất nhập khẩu Thủy sản An Giang	Angiang Fisheries Import & Export Jsc	HSX	Consumer Goods	2002/04/26	4179130	2002/05/02	30000	2002/05/02	4179130		4179130	2099/12/31	CG
AGM	CTCP Xuất Nhập Khẩu An Giang	An Giang Import Export Company	HSX	Consumer Goods	2012/09/14	18200000	2012/12/14	20200				18200000	2099/12/31	CG
AGR	CTCP Chứng khoán NH Nông nghiệp và Phát triển Nông thôn Việt Nam	Agribank Securities Jscporation	HSX	Financials	2009/12/02	120000000	2009/12/10	25600	2009/12/10	120000000		120000000	2099/12/31	FI
ALP	CTCP Đầu tư Alphanam	Alphanam Jsc	HSX	Industrials	2007/12/07	30000000	2007/12/18	63500	2007/12/18	30000000		30000000	2099/12/31	IN
ALT	CTCP Văn hoá Tân Bình	Alta Company	HNX	Consumer Services	2006/11/22	1334700	2006/11/22	24900	2006/11/22	1334700		1334700	2099/12/31	CS
ALT	CTCP Văn hoá Tân Bình	Alta Company	HSX	Consumer Services		1331430	2006/11/22	32000				1331430	2009/07/10	CS
ALV	CTCP Khoáng sản Vinas A Lưới	Vinas A Luoi Mineral Jsc	HNX	Basic Materials	2010/09/17	1500000	2010/09/17	32500	2010/09/17	1500000		1500000	2099/12/31	BM
AMC	CTCP Khoáng Sản Á Châu	Asia Mineral Jsc	HNX	Basic Materials	2012/02/15	2739743	2012/02/15	15600	2012/02/15	2739743		2739743	2099/12/31	BM
AME	CTCP Alphanam cơ điện	Alphanam Mechanical Electric Jsc,.	HNX	Industrials	2010/06/02	12000000	2010/06/02	24100	2010/06/02	12000000		12000000	2099/12/31	IN
AMV	CTCP Sản xuất kinh doanh dược và Thiết bị y tế Việt Mỹ	American Vietnamese Biotech Incorporation	HNX	Health Care	2009/12/23	2100000	2009/12/30	17000	2009/12/30	2100000		2100000	2099/12/31	HC
ANV	CTCP Nam Việt	Nam Viet Corporation	HSX	Consumer Goods	2007/11/28	66000000	2007/12/07	98000	2007/12/07	66000000		66000000	2099/12/31	CG
